"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"12","Fabian Zetterlund","L","82","1546.2","1523","1689","47.42","1092","1206","47.52","733","820","47.20","89","100","47.09","81.53","92.33","46.89","727","857","45.90","283","353","44.50","43","45","48.86","12.14","87.80","0.999","273","323","240","918","53.22","622","450","514","54.75"
"17","William Eklund","L","80","1492.9666666667","1511","1547","49.41","1049","1095","48.93","697","768","47.58","73","95","43.45","79.13","83.43","48.68","712","734","49.24","304","284","51.70","36","40","47.37","10.47","87.63","0.981","250","248","222","977","52.97","575","370","466","55.24"
"2","Mikael Granlund","C","69","1446.2","1359","1721","44.12","985","1238","44.31","671","853","44.03","83","100","45.36","75.39","102.01","42.50","673","879","43.36","266","360","42.49","44","42","51.16","12.37","88.28","1.006","228","282","290","807","44.02","549","385","577","48.76"
"3","Tomas Hertl","C","48","1003.2333333333","1062","1128","48.49","727","793","47.83","495","543","47.69","43","71","37.72","55.09","61.45","47.27","498","561","47.03","195","214","47.68","23","31","42.59","8.69","86.92","0.956","160","173","182","595","46.78","384","245","363","51.41"
"8","Luke Kunin","C","77","1212.0333333333","916","1601","36.39","632","1160","35.27","421","806","34.31","30","76","28.30","41.1","86.37","32.24","403","808","33.28","174","332","34.39","13","43","23.21","7.13","90.57","0.977","113","196","243","1006","31.74","265","293","485","35.33"
"13","Filip Zadina","R","72","960.46666666667","912","1128","44.71","626","826","43.11","421","577","42.18","30","74","28.85","41.23","54.69","42.98","414","573","41.95","173","222","43.80","13","36","26.53","7.13","87.18","0.943","94","174","129","803","42.15","244","259","279","46.65"
"4","Anthony Duclair","L","56","905.76666666667","883","1015","46.52","601","731","45.12","419","509","45.15","49","45","52.13","43.6","48.75","47.21","421","501","45.66","170","201","45.82","23","18","56.10","11.69","91.16","1.029","159","215","136","628","53.90","351","283","314","52.78"
"1","Mike Hoffman","C","66","906.28333333333","829","900","47.95","598","656","47.69","403","445","47.52","35","44","44.30","41.24","46.42","47.05","374","435","46.23","149","190","43.95","15","19","44.12","8.68","90.11","0.988","131","148","131","684","50.00","286","219","284","50.18"
"16","Alexander Barabanov","L","46","730.13333333333","766","757","50.30","523","561","48.25","328","376","46.59","26","44","37.14","36.13","39.02","48.08","356","366","49.31","155","138","52.90","15","20","42.86","7.93","88.30","0.962","118","133","83","521","58.71","252","192","189","57.14"
"14","Nico Sturm","C","63","923.53333333333","713","1201","37.25","493","849","36.74","340","575","37.16","26","66","28.26","29.23","63.3","31.59","308","642","32.42","126","254","33.16","9","30","23.08","7.65","88.52","0.962","96","186","301","741","24.18","231","267","518","30.84"
"5","Justin Bailey","R","59","665.56666666667","655","688","48.77","438","501","46.65","295","347","45.95","23","41","35.94","24.45","32.51","42.93","282","317","47.08","104","135","43.51","10","25","28.57","7.80","88.18","0.960","90","134","107","640","45.69","207","193","212","49.40"
"6","Ryan Carpenter","C","62","688.38333333333","581","784","42.56","420","565","42.64","275","392","41.23","21","53","28.38","25.3","43.53","36.75","255","404","38.69","107","158","40.38","9","19","32.14","7.64","86.48","0.941","54","125","171","623","24.00","138","180","293","32.02"
"7","Kevin Labanc","R","46","534.61666666667","530","528","50.09","370","386","48.94","251","268","48.36","13","36","26.53","22.39","25.66","46.60","217","268","44.74","85","110","43.59","6","14","30.00","5.18","86.57","0.917","64","84","71","464","47.41","136","127","167","44.88"
"15","Thomas Bordeleau","C","27","405.65","440","372","54.19","325","273","54.35","203","198","50.62","18","24","42.86","22.39","20.64","52.03","208","175","54.31","81","80","50.31","7","11","38.89","8.87","87.88","0.967","80","74","55","271","59.26","179","91","131","57.74"
"10","Klim Kostin","C","19","279.88333333333","265","300","46.90","184","219","45.66","118","150","44.03","12","20","37.50","12.21","16.48","42.55","127","140","47.57","39","64","37.86","5","12","29.41","10.17","86.67","0.968","39","65","32","219","54.93","102","81","83","55.14"
"9","Givani Smith","R","36","281.13333333333","236","300","44.03","176","221","44.33","115","152","43.07","6","19","24.00","11.1","13.86","44.48","96","138","41.03","52","53","49.52","3","8","27.27","5.22","87.50","0.927","32","68","38","243","45.71","68","85","89","43.31"
"11","Jack Studnicka","C","17","200.98333333333","132","237","35.77","98","177","35.64","57","121","32.02","1","16","5.88","5.39","12.35","30.36","50","110","31.25","25","44","36.23","0","9","0.00","1.75","86.78","0.885","6","45","42","181","12.50","35","60","71","33.02"
